,record_ID,units_sold
0,212645,64.42368463709425
1,212646,64.42368463709425
2,212647,68.43360278848071
3,212648,68.43360278848071
4,212649,68.45501758825432
5,212653,64.69171656326697
6,212654,68.13931286673605
7,212657,66.08496971683806
8,212658,66.4953455047373
9,212661,64.42368463709425
10,212662,64.42368463709425
11,212663,64.42368463709425
12,212666,68.43360278848071
13,212667,68.43360278848071
14,212668,68.45501758825432
15,212671,98.75595767001255
16,212672,64.69171656326697
17,212673,68.13931286673605
18,212674,94.60588247235172
19,212675,63.9843532933797
20,212676,93.57640580186514
21,212677,65.14563140727408
22,212678,66.08496971683806
23,212679,64.69171656326697
24,212681,68.20188527058545
25,212682,68.20188527058545
26,212683,69.18539585978657
27,212686,95.9153537879828
28,212687,98.2905513192301
29,212688,62.12826269732749
30,212689,62.665461446996346
31,212691,68.43360278848071
32,212692,68.43360278848071
33,212693,68.45501758825432
34,212694,102.02476548160143
35,212695,102.02476548160143
36,212696,102.02476548160143
37,212697,64.69171656326697
38,212698,68.13931286673605
39,212699,95.17959920379909
40,212700,65.36260400588135
41,212701,63.9843532933797
42,212702,65.14563140727408
43,212703,66.4953455047373
44,212704,66.4953455047373
45,212705,97.64918014178046
46,212706,68.43868386452061
47,212707,97.98674301393477
48,212709,68.40086923410493
49,212710,94.59482141641341
50,212711,94.59482141641341
51,212712,93.95258779073396
52,212713,62.53197136264745
53,212716,68.43360278848071
54,212717,68.45501758825432
55,212718,66.0877445795218
56,212719,66.0877445795218
57,212721,65.43431390101455
58,212722,66.0877445795218
59,212723,94.05981447007755
60,212724,63.9843532933797
61,212725,63.9843532933797
62,212727,65.14563140727408
63,212728,64.69171656326697
64,212729,64.69171656326697
65,212731,68.43868386452061
66,212732,97.98674301393477
67,212734,68.40086923410493
68,212735,66.08496971683806
69,212736,66.08496971683806
70,212737,64.42368463709425
71,212738,97.70930266731128
72,212739,62.665461446996346
73,212740,65.0818641070932
74,212742,68.43360278848071
75,212743,68.43360278848071
76,212744,68.45501758825432
77,212748,64.69171656326697
78,212749,68.13931286673605
79,212750,94.60588247235172
